Location_Code,State_Code,Source_State,Source_Location,UI_Display_Value,Location_Type,Is_Active
LOC_AP_ROAP,ST_AP,ANDHARA PRADESH,ROAP,ROAP,REST_OF_STATE,Y
LOC_AP_VIJAYAWADA,ST_AP,ANDHARA PRADESH,VIJAYAWADA,VIJAYAWADA,NAMED_LOCATION,Y
LOC_AP_VIZAG,ST_AP,ANDHARA PRADESH,VIZAG,VIZAG,NAMED_LOCATION,Y
LOC_ARUNACHAL_PRADESH,ST_ARUNACHAL_PRADESH,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ARUNACHAL PRADESH,STATE_SAME_AS_LOCATION,Y
LOC_AS_GUWAHATI,ST_AS,ASSAM,GUWAHATI,GUWAHATI,NAMED_LOCATION,Y
LOC_AS_ROASSAM,ST_AS,ASSAM,ROASSAM,ROASSAM,REST_OF_STATE,Y
LOC_BR_PATNA,ST_BR,BIHAR,PATNA,PATNA,NAMED_LOCATION,Y
LOC_BR_ROBH,ST_BR,BIHAR,ROBH,ROBH,REST_OF_STATE,Y
LOC_CG_RAIPUR,ST_CG,CHHATTISGARH,RAIPUR,RAIPUR,NAMED_LOCATION,Y
LOC_CG_ROCG,ST_CG,CHHATTISGARH,ROCG,ROCG,REST_OF_STATE,Y
LOC_CH_CHANDIGARH,ST_CH,CHANDIGARH,CHANDIGARH,CHANDIGARH,NAMED_LOCATION,Y
LOC_DL_DELHI_NCR,ST_DL,DELHI,DELHI NCR,DELHI NCR,NAMED_LOCATION,Y
LOC_GA_ALL,ST_GA,GOA,ALL,ALL,ALL_STATE,Y
LOC_GJ_AHMEDABAD,ST_GJ,GUJARAT,AHMEDABAD,AHMEDABAD,NAMED_LOCATION,Y
LOC_GJ_ROGJ,ST_GJ,GUJARAT,ROGJ,ROGJ,REST_OF_STATE,Y
LOC_GJ_SURAT,ST_GJ,GUJARAT,SURAT,SURAT,NAMED_LOCATION,Y
LOC_GJ_VADODARA,ST_GJ,GUJARAT,VADODARA,VADODARA,NAMED_LOCATION,Y
LOC_HP_ALL,ST_HP,HIMACHAL PRADESH,ALL,ALL,ALL_STATE,Y
LOC_HR_GURGAON,ST_HR,HARYANA,GURGAON,GURGAON,NAMED_LOCATION,Y
LOC_HR_ROHR,ST_HR,HARYANA,ROHR,ROHR,REST_OF_STATE,Y
LOC_JH_RANCHI,ST_JH,JHARKHAND,RANCHI,RANCHI,NAMED_LOCATION,Y
LOC_JH_ROJH,ST_JH,JHARKHAND,ROJH,ROJH,REST_OF_STATE,Y
LOC_JK_ALL,ST_JK,JAMMU & KASHMIR,ALL,ALL,ALL_STATE,Y
LOC_KA_BANGALORE,ST_KA,KARNATAKA,BANGALORE,BANGALORE,NAMED_LOCATION,Y
