Source_File,Source_Sheet,Source_Row,Recon_Code,ZONE,Source_State,Source_Location,Source_Product,Source_SubProduct,Source_Business_Type,Source_SubLine,Insurer_Name,Source_Rate_Field,Rate_Type,Rate_Value,Effective_From,Product_Code,SubProduct_Code,BusinessType_Code,UI_Business_Type,Rule_Business_Variant,SubLine_Code,State_Code,Location_Code
July-26.xlsx,Sheet1,14,AP1MI332T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,MISC-D,MISC D,RO/RN,TP,CHOLA,INFLOW,INFLOW,"30.00%{NT(W/O CPA -2% Less - Loader, Excavators/Earth Movers, Crane, Bulldozers/Bullgraders, Road Rollers, Fork Lift Trucks)",01-07-2026,PROD_MISC,SP_MISC_ALL,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,15,AP1PC152P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PCV,PCV 3W,RO/RN,PKG,CHOLA,INFLOW,INFLOW,17.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_PCV,SP_PCV_3W,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,16,AP1PC152T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PCV,PCV 3W,RO/RN,TP,CHOLA,INFLOW,INFLOW,12.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_PCV,SP_PCV_3W,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,17,AP1PR142S,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PRIVATE CAR,PRIVATE CAR,RO/RN,SAOD,CHOLA,INFLOW,INFLOW,20.00%{OD(Above 1500CC - petrol),01-07-2026,PROD_PC,SP_PC_CAR,BT_RO_RN,Renewal / Rollover,RO/RN,SL_SAOD,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,18,AP1PR142T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PRIVATE CAR,PRIVATE CAR,RO/RN,TP,CHOLA,INFLOW,INFLOW,"20.00%{NT(W/O CPA -2% Less - Above 1000CC to 1500CC),20.00%{NT(W/O CPA -2% Less - Above 1500CC)",01-07-2026,PROD_PC,SP_PC_CAR,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,19,AP1PC182P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PCV,PCV BUS - STUDENTS,RO/RN,PKG,CHOLA,INFLOW,INFLOW,50.00%{NT(W/O CPA -2% Less),01-07-2026,PROD_PCV,SP_PCV_SCHOOLBUS,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,20,AP1PC182T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PCV,PCV BUS - STUDENTS,RO/RN,TP,CHOLA,INFLOW,INFLOW,50.00%{NT(W/O CPA -2% Less),01-07-2026,PROD_PCV,SP_PCV_SCHOOLBUS,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,21,AP1PC172P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PCV,PCV BUS - STAFF,RO/RN,PKG,CHOLA,INFLOW,INFLOW,42.00%{NT(W/O CPA -2% Less),01-07-2026,PROD_PCV,SP_PCV_STAFFBUS,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,22,AP1PC172T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PCV,PCV BUS - STAFF,RO/RN,TP,CHOLA,INFLOW,INFLOW,42.00%{NT(W/O CPA -2% Less),01-07-2026,PROD_PCV,SP_PCV_STAFFBUS,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,23,AP1GC242T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - UPTO 2500 GVW,RO/RN,TP,CHOLA,INFLOW,INFLOW,"42.00%{NT(W/O CPA -2% Less - TATA/Maruti/MahindraAce, Super Ace, Yodha, Xenon, Magic, Intra, Super Carry, Mahindra Jeeto,Tractor ,Supro),19.50%{NT(W/O CPA -2% Less)",01-07-2026,PROD_GCV,SP_GCV_4W_UPTO_2500_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
