Rule_ID,Recon_Code,ZONE,STATE,LOCATION,PRODUCT,SUB_PRODUCT,BUSINESS_TYPE,SUB_LINE,INSURER_NAME,INFLOW
RAW_000025,AP1GC252T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 2500 TO 3500 GVW,RO/RN,TP,CHOLA,"42.00%{NT(W/O CPA -2% Less - TATA/Maruti/MahindraAce, Super Ace, Yodha, Xenon, Magic, Intra, Super Carry, Mahindra Jeeto,Tractor ,Supro),19.50%{NT(W/O CPA -2% Less)"
RAW_000026,AP12W121P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,2W,SCOOTER,NEW(1+5),PKG,CHOLA,"40.00%{NT(W/O CPA -2% Less - SUZUKI),39.50%{NT(W/O CPA -2% Less - Others),38.50%{NT(W/O CPA -2% Less - Hero),37.00%{NT(W/O CPA -2% Less - TVS),36.00%{NT(W/O CPA -2% Less - Yamaha),34.50%{NT(W/O CPA -2% Less - Honda),30.50%{NT(W/O CPA -2% Less - Bajaj)"
RAW_000027,AP12W122P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,2W,SCOOTER,RO/RN,PKG,CHOLA,"40.00%{NT(W/O CPA -2% Less - Hero),40.00%{NT(W/O CPA -2% Less - TVS),40.00%{NT(W/O CPA -2% Less - SUZUKI),40.00%{NT(W/O CPA -2% Less - Yamaha),37.50%{NT(W/O CPA -2% Less - Honda),37.50%{NT(W/O CPA -2% Less - Bajaj),37.50%{NT(W/O CPA -2% Less - Others)"
RAW_000028,AP12W122T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,2W,SCOOTER,RO/RN,TP,CHOLA,"30.00%{NT(W/O CPA -2% Less - Hero),30.00%{NT(W/O CPA -2% Less - TVS),30.00%{NT(W/O CPA -2% Less - SUZUKI),30.00%{NT(W/O CPA -2% Less - Yamaha),27.50%{NT(W/O CPA -2% Less - Honda),27.50%{NT(W/O CPA -2% Less - Bajaj),27.50%{NT(W/O CPA -2% Less - Others)"
RAW_000029,AP1PR142P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PRIVATE CAR,PRIVATE CAR,RO/RN,PKG,CHOLA,"30.00%{OD(W/O CPA -2% Less - Above 1500CC),27.50%{OD(W/O CPA -2% Less - Upto 1000CC),27.50%{OD(W/O CPA -2% Less - Above 1000CC to 1500CC)"
RAW_000030,AP1MI322P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,MISC-D,AGRICULTURE TRACTOR,RO/RN,PKG,CHOLA,45.00%{NT(W/O CPA -2% Less)
RAW_000031,AP1MI322T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,MISC-D,AGRICULTURE TRACTOR,RO/RN,TP,CHOLA,20.00%{NT(W/O CPA -2% Less)
RAW_000032,AP12W101P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,2W,BIKE,NEW(1+5),PKG,CHOLA,"40.00%{NT(W/O CPA -2% Less - SUZUKI - Upto 150cc),40.00%{NT(W/O CPA -2% Less - SUZUKI - >150cc-350cc),38.50%{NT(W/O CPA -2% Less - Hero - Upto 150cc),38.50%{NT(W/O CPA -2% Less - Hero - >150cc-350cc),31.00%{NT(W/O CPA -2% Less - Yamaha - Upto 150cc),31.00%{NT(W/O CPA -2% Less - Yamaha - >150cc-350cc),27.00%{NT(W/O CPA -2% Less - TVS - Upto 150cc),27.00%{NT(W/O CPA -2% Less - TVS - >150cc-350cc),17.00%{NT(W/O CPA -2% Less - Honda - Upto 150cc)"
RAW_000033,AP1PC162P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PCV,PCV 3W-EV,RO/RN,PKG,CHOLA,17.50%{NT(W/O CPA -2% Less)
RAW_000034,AP1PC162T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PCV,PCV 3W-EV,RO/RN,TP,CHOLA,12.50%{NT(W/O CPA -2% Less)
RAW_000035,AP1GC232P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,GCV 3W-EV,RO/RN,PKG,CHOLA,37.00%{NT(W/O CPA -2% Less)
RAW_000036,AP1GC232T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,GCV 3W-EV,RO/RN,TP,CHOLA,32.00%{NT(W/O CPA -2% Less)
RAW_000037,AP2GC282P,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 12000 TO 20000 GVW,RO/RN,PKG,CHOLA,"22.00%{NT(W/O CPA -2% Less - Upto 16K Ton),17.00%{NT(W/O CPA -2% Less - Aove 16K Ton)"
RAW_000038,AP2GC292P,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 20000 TO 40000 GVW,RO/RN,PKG,CHOLA,29.50%{NT(W/O CPA -2% Less)
RAW_000039,AP2GC292T,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 20000 TO 40000 GVW,RO/RN,TP,CHOLA,19.50%{NT(W/O CPA -2% Less)
RAW_000040,AP2GC262P,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 3500 TO 7500 GVW,RO/RN,PKG,CHOLA,14.50%{NT(W/O CPA -2% Less)
RAW_000041,AP2GC262T,SOUTH,ANDHARA PRADESH,VIZAG,GCV,4W - 3500 TO 7500 GVW,RO/RN,TP,CHOLA,9.50%{NT(W/O CPA -2% Less)
