Product_Code,SubProduct_Code,BusinessType_Code,Rule_Business_Variant,SubLine_Code,State_Code,Location_Code,INFLOW,Insurer,Effective Date from
PROD_2W,SP_2W_BIKE,BT_NEW,NEW(1+5),SL_PKG,ST_AP,LOC_AP_ROAP,"40.00%{NT(W/O CPA -2% Less - SUZUKI - Upto 150cc),40.00%{NT(W/O CPA -2% Less - SUZUKI - >150cc-350cc),38.50%{NT(W/O CPA -2% Less - Hero - Upto 150cc),38.50%{NT(W/O CPA -2% Less - Hero - >150cc-350cc),31.00%{NT(W/O CPA -2% Less - Yamaha - Upto 150cc),31.00%{NT(W/O CPA -2% Less - Yamaha - >150cc-350cc),27.00%{NT(W/O CPA -2% Less - TVS - Upto 150cc),27.00%{NT(W/O CPA -2% Less - TVS - >150cc-350cc),17.00%{NT(W/O CPA -2% Less - Honda - Upto 150cc)",CHOLA,01-07-2026
PROD_2W,SP_2W_BIKE,BT_NEW,NEW(1+5),SL_PKG,ST_AP,LOC_AP_VIJAYAWADA,"40.00%{NT(W/O CPA -2% Less - SUZUKI - Upto 150cc),40.00%{NT(W/O CPA -2% Less - SUZUKI - >150cc-350cc),38.50%{NT(W/O CPA -2% Less - Hero - Upto 150cc),38.50%{NT(W/O CPA -2% Less - Hero - >150cc-350cc),31.00%{NT(W/O CPA -2% Less - Yamaha - Upto 150cc),31.00%{NT(W/O CPA -2% Less - Yamaha - >150cc-350cc),27.00%{NT(W/O CPA -2% Less - TVS - Upto 150cc),27.00%{NT(W/O CPA -2% Less - TVS - >150cc-350cc),17.00%{NT(W/O CPA -2% Less - Honda - Upto 150cc)",CHOLA,01-07-2026
PROD_2W,SP_2W_BIKE,BT_NEW,NEW(1+5),SL_PKG,ST_AP,LOC_AP_VIZAG,"40.00%{NT(W/O CPA -2% Less - SUZUKI - Upto 150cc),40.00%{NT(W/O CPA -2% Less - SUZUKI - >150cc-350cc),38.50%{NT(W/O CPA -2% Less - Hero - Upto 150cc),38.50%{NT(W/O CPA -2% Less - Hero - >150cc-350cc),31.00%{NT(W/O CPA -2% Less - Yamaha - Upto 150cc),31.00%{NT(W/O CPA -2% Less - Yamaha - >150cc-350cc),27.00%{NT(W/O CPA -2% Less - TVS - Upto 150cc),27.00%{NT(W/O CPA -2% Less - TVS - >150cc-350cc),17.00%{NT(W/O CPA -2% Less - Honda - Upto 150cc)",CHOLA,01-07-2026
PROD_2W,SP_2W_BIKE,BT_NEW,NEW(1+5),SL_PKG,ST_ARUNACHAL_PRADESH,LOC_ARUNACHAL_PRADESH,"40.00%{NT(W/O CPA -2% Less - SUZUKI - Upto 150cc),40.00%{NT(W/O CPA -2% Less - SUZUKI - >150cc-350cc),26.00%{NT(W/O CPA -2% Less - Hero - Upto 150cc),26.00%{NT(W/O CPA -2% Less - Hero - >150cc-350cc),17.00%{NT(W/O CPA -2% Less - Yamaha - Upto 150cc),17.00%{NT(W/O CPA -2% Less - Yamaha - >150cc-350cc)",CHOLA,01-07-2026
PROD_2W,SP_2W_BIKE,BT_NEW,NEW(1+5),SL_PKG,ST_AS,LOC_AS_GUWAHATI,"40.00%{NT(W/O CPA -2% Less - SUZUKI - Upto 150cc),40.00%{NT(W/O CPA -2% Less - SUZUKI - >150cc-350cc),26.00%{NT(W/O CPA -2% Less - Hero - Upto 150cc),26.00%{NT(W/O CPA -2% Less - Hero - >150cc-350cc),17.00%{NT(W/O CPA -2% Less - Yamaha - Upto 150cc),17.00%{NT(W/O CPA -2% Less - Yamaha - >150cc-350cc)",CHOLA,01-07-2026
PROD_2W,SP_2W_BIKE,BT_NEW,NEW(1+5),SL_PKG,ST_AS,LOC_AS_ROASSAM,"40.00%{NT(W/O CPA -2% Less - SUZUKI - Upto 150cc),40.00%{NT(W/O CPA -2% Less - SUZUKI - >150cc-350cc),26.00%{NT(W/O CPA -2% Less - Hero - Upto 150cc),26.00%{NT(W/O CPA -2% Less - Hero - >150cc-350cc),17.00%{NT(W/O CPA -2% Less - Yamaha - Upto 150cc),17.00%{NT(W/O CPA -2% Less - Yamaha - >150cc-350cc)",CHOLA,01-07-2026
PROD_2W,SP_2W_BIKE,BT_NEW,NEW(1+5),SL_PKG,ST_BR,LOC_BR_PATNA,"40.00%{NT(W/O CPA -2% Less - SUZUKI - Upto 150cc),40.00%{NT(W/O CPA -2% Less - SUZUKI - >150cc-350cc),36.00%{NT(W/O CPA -2% Less - Hero - Upto 150cc),36.00%{NT(W/O CPA -2% Less - Hero - >150cc-350cc),27.00%{NT(W/O CPA -2% Less - TVS - Upto 150cc),27.00%{NT(W/O CPA -2% Less - TVS - >150cc-350cc),23.00%{NT(W/O CPA -2% Less - Honda - Upto 150cc),23.00%{NT(W/O CPA -2% Less - Honda - >150cc-350cc),23.00%{NT(W/O CPA -2% Less - Others - Upto 150cc)",CHOLA,01-07-2026
PROD_2W,SP_2W_BIKE,BT_NEW,NEW(1+5),SL_PKG,ST_BR,LOC_BR_ROBH,"40.00%{NT(W/O CPA -2% Less - SUZUKI - Upto 150cc),40.00%{NT(W/O CPA -2% Less - SUZUKI - >150cc-350cc),36.00%{NT(W/O CPA -2% Less - Hero - Upto 150cc),36.00%{NT(W/O CPA -2% Less - Hero - >150cc-350cc),27.00%{NT(W/O CPA -2% Less - TVS - Upto 150cc),27.00%{NT(W/O CPA -2% Less - TVS - >150cc-350cc),23.00%{NT(W/O CPA -2% Less - Honda - Upto 150cc),23.00%{NT(W/O CPA -2% Less - Honda - >150cc-350cc),23.00%{NT(W/O CPA -2% Less - Others - Upto 150cc)",CHOLA,01-07-2026
PROD_2W,SP_2W_BIKE,BT_NEW,NEW(1+5),SL_PKG,ST_DL,LOC_DL_DELHI_NCR,"30.00%{NT(W/O CPA -2% Less - SUZUKI - Upto 150cc),30.00%{NT(W/O CPA -2% Less - SUZUKI - >150cc-350cc),20.00%{NT(W/O CPA -2% Less - Others - Upto 150cc)",CHOLA,01-07-2026
PROD_2W,SP_2W_BIKE,BT_NEW,NEW(1+5),SL_PKG,ST_GA,LOC_GA_ALL,"40.00%{NT(W/O CPA -2% Less - SUZUKI - Upto 150cc),40.00%{NT(W/O CPA -2% Less - SUZUKI - >150cc-350cc),36.00%{NT(W/O CPA -2% Less - Hero - Upto 150cc),36.00%{NT(W/O CPA -2% Less - Hero - >150cc-350cc),36.00%{NT(W/O CPA -2% Less - Yamaha - Upto 150cc),36.00%{NT(W/O CPA -2% Less - Yamaha - >150cc-350cc),20.00%{NT(W/O CPA -2% Less - TVS - Upto 150cc),20.00%{NT(W/O CPA -2% Less - TVS - >150cc-350cc),18.50%{NT(W/O CPA -2% Less - Royal Enfield - >150cc-350cc)",CHOLA,01-07-2026
